student_id,course_id,subject,semester,section,final_grade,gender,course_interest,perceived_competence,utility_value
71725,AnPhA-S216-01,AnPhA,S216,1,77.2789328,F,4.8,4,4.666666667
72287,FrScA-T116-01,FrScA,T116,1,90.86757991,F,3.2,2,2.666666667
73132,FrScA-S116-03,FrScA,S116,3,87.52968037,M,NA,NA,NA
74551,PhysA-S116-01,PhysA,S116,1,71.67083333,M,5,4.25,4
74552,AnPhA-S216-02,AnPhA,S216,2,96.16,F,NA,NA,NA
76132,AnPhA-T116-01,AnPhA,T116,1,95.3392,M,4,3,3.833333333
76133,PhysA-S116-01,PhysA,S116,1,93.61805556,M,4.2,3.5,3.666666667
76426,PhysA-S116-01,PhysA,S116,1,95.41666667,F,2.4,3.5,2.666666667
76443,OcnA-S216-01,OcnA,S216,1,NA,F,4.5,3.5,3.666666667
76673,AnPhA-S216-01,AnPhA,S216,1,92.2,F,4.2,3.5,4
76674,AnPhA-S216-01,AnPhA,S216,1,95.8608,M,NA,NA,NA
76840,AnPhA-S216-01,AnPhA,S216,1,74.4392,M,3.933333333,3.5,3.222222222
76840,FrScA-S116-01,FrScA,S116,1,92.46575342,F,3.933333333,3.5,3.222222222
76891,OcnA-S116-01,OcnA,S116,1,88.91624791,F,3.8,4,3.666666667
76930,AnPhA-S116-02,AnPhA,S116,2,81.272,F,3.4,3.5,4
76998,AnPhA-S216-01,AnPhA,S216,1,40.2389328,F,4.2,4,4
77010,AnPhA-S116-01,AnPhA,S116,1,73.1706672,M,NA,NA,NA
77067,FrScA-S216-02,FrScA,S216,2,NA,F,4.6,3.5,3.333333333
77141,FrScA-S216-02,FrScA,S216,2,82.27990971,F,5,3.5,4
77169,BioA-S116-01,BioA,S116,1,93.8172043,M,4.6,3.5,4.666666667
77190,FrScA-S216-01,FrScA,S216,1,92.43792325,F,NA,NA,NA
77246,FrScA-S116-01,FrScA,S116,1,88.35616438,F,3.4,2,4
77298,FrScA-S116-02,FrScA,S116,2,75.46118721,F,4.8,2.5,3.333333333
77976,FrScA-S116-03,FrScA,S116,3,90.59589041,F,4.4,3.5,3
77980,FrScA-S216-02,FrScA,S216,2,93.00225734,M,3.2,3,3
78000,FrScA-S216-01,FrScA,S216,1,91.4221219,F,4.8,5,3
78002,OcnA-S216-02,OcnA,S216,2,63.98324958,F,3,3.5,4.333333333
78153,PhysA-S216-01,PhysA,S216,1,99.02777778,F,4.4,3.5,4.333333333
78164,AnPhA-S216-01,AnPhA,S216,1,76.104,M,5,3.5,4
78241,OcnA-S216-02,OcnA,S216,2,57.24958124,F,5,4,4.666666667
78691,FrScA-S116-03,FrScA,S116,3,92.92237443,F,NA,NA,NA
79128,PhysA-S116-01,PhysA,S116,1,96.40972222,F,4,3,4.333333333
79220,AnPhA-S116-02,AnPhA,S116,2,91.8208,F,4,3,2.333333333
79352,PhysA-S116-01,PhysA,S116,1,95.48611111,M,5,4,5
79596,PhysA-S116-01,PhysA,S116,1,90.97222222,F,4,3,3.333333333
79859,AnPhA-T116-01,AnPhA,T116,1,72.992,F,4,3,4.333333333
79893,OcnA-T116-01,OcnA,T116,1,94.46566164,M,4,4,4
80822,OcnA-S216-01,OcnA,S216,1,90.94639866,F,5,4,5
84632,PhysA-T116-01,PhysA,T116,1,97.63888889,F,4,4,4
84640,AnPhA-T116-01,AnPhA,T116,1,86.1648,F,4,3.5,3.333333333
84641,AnPhA-T116-01,AnPhA,T116,1,83.5525328,M,NA,NA,NA
84645,OcnA-T116-01,OcnA,T116,1,22.680067,F,5,5,5
84684,OcnA-T116-01,OcnA,T116,1,90.80569514,M,4.125,3.666666667,3
84685,OcnA-T116-01,OcnA,T116,1,82.0318258,M,3.8,3.5,4
84749,AnPhA-T116-01,AnPhA,T116,1,82.552,M,4,3,4
84757,AnPhA-T116-01,AnPhA,T116,1,85.3376,M,NA,NA,NA
84794,BioA-T116-01,BioA,T116,1,73.81827957,M,5,4.5,5
84932,OcnA-S216-01,OcnA,S216,1,88.30318258,F,4.2,4,4
85123,FrScA-S216-01,FrScA,S216,1,81.71557562,F,4.333333333,3,4
85248,AnPhA-S216-01,AnPhA,S216,1,94.8261328,M,NA,NA,NA
85249,AnPhA-S116-01,AnPhA,S116,1,86.8912,F,4.4,3.5,2.666666667
85258,FrScA-S116-02,FrScA,S116,2,NA,F,5,3.5,4
85258,FrScA-S216-01,FrScA,S216,1,89.05191874,F,5,3.5,4
85287,FrScA-S216-01,FrScA,S216,1,93.67945824,F,4.1,3.666666667,4.333333333
85292,BioA-S116-01,BioA,S116,1,93.34946237,F,4,3.5,4
85323,FrScA-S116-01,FrScA,S116,1,15.06849315,F,3.4,2.75,3.333333333
85348,FrScA-S216-03,FrScA,S216,3,76.29464286,M,3,2.5,3
85355,OcnA-S116-01,OcnA,S116,1,17.22278057,F,5,4,5
85390,PhysA-S116-01,PhysA,S116,1,3.055555556,F,4.8,4.5,4.5
85410,OcnA-S116-02,OcnA,S116,2,93.9279732,F,NA,NA,NA
85411,AnPhA-S116-01,AnPhA,S116,1,90.9157328,F,NA,NA,NA
85416,FrScA-S116-01,FrScA,S116,1,94.74885845,F,4,2.5,4
85431,FrScA-S116-01,FrScA,S116,1,92.92237443,F,4.8,4,4
85432,FrScA-S116-01,FrScA,S116,1,49.08675799,F,5,4,4.666666667
85433,FrScA-S116-01,FrScA,S116,1,72.14611872,F,4.1,3.5,4.333333333
85443,FrScA-S116-01,FrScA,S116,1,86.30136986,F,4.8,3.5,3.666666667
85482,OcnA-S116-02,OcnA,S116,2,79.49916248,M,5,5,5
85487,OcnA-S116-02,OcnA,S116,2,NA,M,4,4,4
85522,PhysA-S116-01,PhysA,S116,1,98.05555556,F,3.6,2.5,2.666666667
85539,FrScA-S116-01,FrScA,S116,1,90.1826484,M,3.8,3.5,3
85567,FrScA-S116-02,FrScA,S116,2,65.17808219,M,3.8,3,3.666666667
85573,FrScA-S116-03,FrScA,S116,3,71.25114155,M,4.7,4.75,4.666666667
85574,FrScA-S116-03,FrScA,S116,3,96.60502283,F,NA,NA,NA
85579,FrScA-S116-01,FrScA,S116,1,96.34703196,F,5,3,3
85583,AnPhA-S116-01,AnPhA,S116,1,91.6549328,F,4.4,4.25,3
85583,FrScA-S216-01,FrScA,S216,1,83.06997743,M,4.4,4.25,3
85642,FrScA-S216-01,FrScA,S216,1,83.74717833,M,4.6,3.5,3.666666667
85644,FrScA-S216-01,FrScA,S216,1,84.98871332,F,NA,NA,NA
85644,OcnA-S116-01,OcnA,S116,1,79.09715243,F,NA,NA,NA
85649,FrScA-S116-01,FrScA,S116,1,86.98630137,F,NA,NA,NA
